VERB,LEVIN CHAPTER MENTIONS (comma-separated)
smuggle,"01.3, 02.1, 02.2, 02.3.2, 10.5, 11.1"
snitch,none
spin,"01.1.2.1, 01.4.1, 02.2, 02.3.1, 02.4.1, 02.4.3, 03.8, 07.7, 09.6, 26.1, 26.7, 40.8.2, 51.3.1"
spot,"02.3.1, 03.5, 09.8, 30.2, 57"
stabilize,"01.1.2.1, 45.4"
steal,"01.1.2.1, 02.2, 02.3.2, 06.1, 06.2, 10.5, 13.5.1, 48.1.1"
study,"01.2.1, 02.10, 02.13.1, 02.13.2, 02.13.3, 14, 30.2, 34"
stuff,"02.3.1, 09.7"
support,"02.10, 02.13.1, 02.13.2, 02.13.3, 31.2, 47.8"
synthesize,"02.4.1, 03.8, 26.4"
take,"02.1, 02.2, 02.3.2, 02.14, 03.6, 06.1, 06.2, 07.5, 07.7, 10.5, 11.3, 26.7, 29.2, 54.2, 54.3"
tax,"02.1, 02.14, 54.5"
tell,"02.1, 37.1, 37.2"
text,none
tickle,"01.1.2.1, 01.2.5, 01.3, 02.9, 02.12, 02.13.4, 07.6.1, 07.6.2, 20, 31.1, 40.8.2"
toughen,"01.1.2.1, 45.4"
trust,"02.1, 02.6, 02.10, 02.13.1, 02.13.2, 02.13.3, 13.4.1, 31.2"
want,"02.1, 02.10, 02.13.1, 02.13.2, 02.13.3, 02.14, 06.1, 29.1, 32.1"
wean,"02.3.2, 10.6"
weave,"01.2.1, 02.2, 02.4.1, 02.4.3, 03.8, 06.1, 06.2, 26.1, 47.7"
whisper,"02.1, 07.1, 07.3, 37.3"
wipe,"09.3, 10.4.1"
wire,"02.1, 02.5.1, 02.5.2, 07.2, 11.5, 22.4, 37.4"
withdraw,"02.2, 02.3.2, 10.1, 10.5"
yell,"02.1, 07.1, 07.3, 37.3, 38"
